Timestamp,Air_Quality_Status,Description
2026-06-15 00:29:33,0,Safe - Normal Air Quality
2026-06-15 00:29:38,0,Safe - Normal Air Quality
2026-06-15 00:29:43,0,Safe - Normal Air Quality
